Grain #,,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
91,,4.25,2.326213245840639,54.82693163316579,3.077150891967625,1.9255162882453487,7.121320343559643,141.0,148.7058823529412,157.0
92,,48.75,7.878478774854901,27.558304863436256,8.870371341397277,7.573753736740945,28.02081528017131,100.0,166.46153846153845,219.0
93,,26.25,5.781222885281108,21.8968602592446,7.008457558147707,5.025727796966562,20.192388155425114,121.0,138.36190476190475,156.0
94,,12.0,3.9088200952233594,-56.008990769784916,4.3664956946470435,3.547255404419646,11.949747468305834,122.0,146.25,163.0
95,,66.25,9.18434101276213,31.950331789292594,12.523573672250738,7.4550206442897835,36.2634559672906,96.0,164.88679245283018,241.0
96,,9.5,3.477898169151024,5.07811162471294,5.0201887213747085,2.469745788528428,11.535533905932738,113.0,150.10526315789474,173.0
97,,26.25,5.781222885281108,-59.24086574144805,9.219937326900453,4.111497417830384,22.485281374238568,112.0,147.36190476190475,167.0
98,,8.25,3.2410224072142872,-10.462710920926941,4.354263581009728,2.507835884788998,10.431980515339463,123.0,141.84848484848484,153.0
99,,10.75,3.6996385101659595,-24.45156898115073,4.7797485524301075,3.0376894257940905,11.828427124746192,106.0,130.46511627906978,141.0
100,,10.5,3.656366395715726,-57.81820289143715,4.987777451193156,3.1203507125040333,11.242640687119284,112.0,151.71428571428572,174.0
101,,17.75,4.753945931439391,-3.7724917275114827,8.163516968878213,2.988458593903328,18.242640687119284,102.0,154.2112676056338,186.0
102,,24.75,5.613615477764332,0.3093524952052664,5.953684729368598,5.4011434455651415,17.65685424949238,105.0,138.8181818181818,160.0
103,,8.75,3.3377905890622728,-10.81337819411825,5.06889592861161,2.324880550718407,11.846194077712559,126.0,149.31428571428572,163.0
104,,9.0,3.385137501286538,45.00001609038752,3.415650255319866,3.415650255319866,10.0,137.0,163.86111111111111,185.0
105,,3.5,2.111004122822376,59.23712298610215,2.474850219249309,1.8399240402566348,5.82842712474619,129.0,145.85714285714286,159.0
106,,7.25,3.0382538898732494,-59.851249250517064,3.6139746071411016,2.5859440602641914,9.242640687119284,121.0,146.3448275862069,160.0
107,,20.0,5.046265044040321,7.690774819360325,7.038485000520962,3.7833158601207812,17.77817459305202,118.0,148.9375,173.0
108,,28.75,6.050259243299904,68.25433461584139,10.108605911105574,4.592965315598862,27.31370849898476,119.0,149.7826086956522,183.0
109,,15.25,4.406461512053774,86.71822000129072,6.199082487102407,3.384802943259859,16.77817459305202,112.0,140.63934426229508,162.0
110,,19.5,4.982787485166879,-15.204552679957887,6.625064140732729,3.976101084232142,17.13908729652601,106.0,156.15384615384616,183.0
111,,24.0,5.527906391541368,33.70450081444121,9.0624007636326,3.908132551257719,23.22792206135786,119.0,144.70833333333334,177.0
112,,74.0,9.706684619910241,46.98721074250383,13.965582596930757,7.2360595546228845,37.14213562373095,115.0,143.81756756756758,170.0
113,,26.5,5.808687281605183,72.46629910524662,8.29343394985921,4.127206568588453,20.48528137423857,104.0,144.72641509433961,173.0
114,,17.25,4.686510657907603,-42.70777953369637,4.997794631829528,4.499760184577294,14.94974746830583,101.0,141.02898550724638,174.0
115,,5.25,2.5854414729132054,-34.5648156327633,3.1957955832811695,2.099572761926658,7.535533905932738,130.0,143.04761904761904,153.0
116,,10.5,3.656366395715726,-2.0142331800594633,5.063515539814726,2.738454376746058,12.656854249492381,124.0,140.54761904761904,152.0
